latitude,longitude,hour,crime_type,risk_label
19.557369747708968,72.70430732414454,4,Harassment,2
17.24962542325831,73.78968430069797,16,None,0
19.575864869103963,76.898839711686,6,None,0
19.066208889544704,72.89511887733362,8,None,0
19.843359763753885,72.99843590173184,8,None,0
16.594901974919352,77.63007832881874,1,None,0
16.373009900603382,78.18132977726101,5,Harassment,2
17.880868409208404,78.90290622300883,9,Harassment,2
16.232726979261724,76.19302060722546,3,None,0
15.877457305711015,75.10988582813935,22,None,0
20.445484499082248,79.05785959865496,5,None,0
17.34775120655417,74.73034009967516,5,Robbery,3
17.230679582132314,73.49498846531286,6,None,0
21.992696127814003,73.07560335844325,2,Theft,1
18.151085709319336,75.66539807938457,10,Theft,1
21.294417611145562,73.01311314296609,8,None,0
19.969447285105527,75.99989846968946,8,None,0
21.052868280428108,73.93949150123798,5,None,0
21.741078252600015,78.92573434344274,15,None,0
19.54750816681045,74.93825529647235,21,Theft,1
20.633460353786347,74.61847036755816,4,None,0
20.451716316702907,75.68478600453399,15,None,0
15.893045255717043,78.32628852319856,11,Harassment,2
18.34000351976349,73.64487674558093,6,Assault,3
21.591106491926546,73.25556408412884,19,None,0
17.813359169296827,78.13417694283008,21,None,0
17.493555912416074,74.69358251463908,12,None,0
17.878706724266923,77.22283288990401,0,None,0
16.039989853951617,74.02641517537512,23,None,0
19.21971748612643,77.02084831097297,5,None,0
20.250419641879617,79.41830216804236,16,Assault,3
16.894356486743227,74.8742317189025,8,None,0
21.991659578237652,77.20680014345122,4,None,0
21.66864029084776,76.35517907871223,22,Theft,1
19.62865611220234,78.34816902098856,20,None,0
20.89689717023198,79.15200384271115,12,None,0
21.52461596555059,80.81269784581477,22,Harassment,2
16.838051381814175,75.67250122924024,5,None,0
17.01017516741308,77.55764501538017,8,None,0
19.625927940387804,72.63655154478,3,Theft,1
18.497435649442757,75.83827511280292,18,None,0
21.71050157935434,80.27133322588415,3,None,0
19.144721316228683,79.70352014896646,10,None,0
16.11823515154937,73.48564142274446,22,None,0
17.258014066044712,75.25464177549014,4,Theft,1
20.454853204380505,78.63781239512625,10,None,0
20.78929474455762,79.87792326201583,8,None,0
16.915506696730883,80.54215760892656,0,None,0
17.23899370357085,78.3261495627773,0,None,0
